Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
A,152.55,45133454441,N/A
AAL,16.28,10580386440,N/A
AAP,151.8,9125948680,N/A
AAPL,151.01,2389272065460,N/A
ABBV,152.05,268897461241,N/A
ABC,159.03,32165119638,N/A
ABMD,381.02,17180642928,N/A
ABT,108.16,188584939720,N/A
ACN,283.96,186956002151,N/A
ADBE,370.99,169839222000,N/A
ADI,178.46,90444861989,N/A
ADM,82.09,45094846694,N/A
ADP,225.82,93568865214,N/A
ADSK,222.8,48072997663,N/A
AEE,85.5,22103645450,N/A
AEP,90.55,46530356043,N/A
AES,26.11,17440168704,N/A
AFL,69.88,43450584573,N/A
AIG,61.32,45559534213,N/A
AIV,7.66,1161502491,N/A
AIZ,133.41,7048240943,N/A
AJG,195.06,41126450400,N/A
AKAM,85.5,13444215966,N/A
ALB,268.29,31430923102,N/A
ALGN,315.81,24668661569,N/A
ALK,49.58,6288619661,N/A
ALL,135.41,35912028415,N/A
ALLE,118.08,10372716582,N/A
ALXN,182.5,40336009475,N/A
AMAT,114.77,96760086506,N/A
AMCR,11.33,16833887037,N/A
AMD,81.48,131374780080,N/A
AME,144.69,33228694702,N/A
AMGN,242.5,129392957455,N/A
AMP,349.73,37217287006,N/A
AMT,216.72,100906046282,N/A
AMZN,97.61,1000235024881,N/A
ANET,133.27,40723662534,N/A
ANSS,267.04,23262451234,N/A
ANTM,482.58,116342693132,N/A
AON,317.82,65742000120,N/A
AOS,66.11,10099990090,N/A
APA,43.56,14005054052,N/A
APD,287.82,63919886175,N/A
APH,79.86,47485116488,N/A
APTV,112.8,30563112511,N/A
ARE,165.68,28677068574,N/A
ATO,116.25,16642642950,N/A
ATVI,75.45,59049080319,N/A
AVB,180.28,25220694438,N/A
AVGO,593.25,247910952555,N/A
AVY,181.39,14686969449,N/A
AWK,150.45,27356003643,N/A
AXP,179.25,133941460758,N/A
AZO,2513.69,47171079536,N/A
BA,212.89,127359225251,N/A
BAC,35.58,285438139064,N/A
BAX,40.95,20643745081,N/A
BBY,85.52,18922536106,N/A
BDX,247.83,70359343937,N/A
BEN,30.92,15467978968,N/A
BF.B,65.01,31132510700,N/A
BIIB,286.3,41227601965,N/A
BIO,471.18,13738853498,N/A
BK,51.4,41545589379,N/A
BKNG,2348.37,91091835098,N/A
BKR,32.92,32968311713,N/A
BLK,723.51,108668001915,N/A
BLL,69.49,22222129619,N/A
BMY,72.2,153508777053,N/A
BR,146.05,17189064987,N/A
BRK.B,309.89,684030199629,N/A
BSX,47.23,67648061849,N/A
BWA,48.32,11314317898,N/A
BXP,72.54,11370986808,N/A
C,50.11,97055697015,N/A
CAG,36.37,17334760361,N/A
CAH,79.83,20567326080,N/A
CARR,44.83,37396645440,N/A
CAT,247.67,128889784953,N/A
CB,214.69,89107143325,N/A
CBOE,126.2,13387570485,N/A
CBRE,87.3,27582307367,N/A
CCI,141.5,61276292142,N/A
CCL,11.16,12426431387,N/A
CDNS,183.8,50419280800,N/A
CDW,205.64,27841801538,N/A
CE,119.88,12998357151,N/A
CERN,94.92,27915791082,N/A
CF,90.49,17753184507,N/A
CFG,43.12,21236210454,N/A
CHD,82.89,20214247283,N/A
CHRW,103.12,12138200340,N/A
CHTR,396.94,60593445128,N/A
CI,296.51,90654672076,N/A
CINF,125.17,19674759832,N/A
CL,73.55,61430005146,N/A
CLX,150.51,18591736913,N/A
CMA,75.08,9831907619,N/A
CMCSA,38.36,161365634517,N/A
CME,184.1,66225368634,N/A
CMG,1583.89,43907192086,N/A
CMI,246.92,34821266317,N/A
CMS,61.41,17824350879,N/A
CNC,72.74,41189730069,N/A
CNP,29.31,18451689345,N/A
COF,115.39,44044198223,N/A
COG,22.25,8892528027,N/A
COO,335.14,16564408448,N/A
COP,115.06,143372936854,N/A
COST,499.99,221860080710,N/A
COTY,10.41,8875522497,N/A
CPB,51.43,15401616817,N/A
CPRT,67.9,16164897797,N/A
CRM,167.03,167030000000,N/A
CSCO,47.26,194183975332,N/A
CSX,31.57,66373043575,N/A
CTAS,442.86,45003645330,N/A
CTL,11.0,12072940000,N/A
CTSH,66.72,34288837943,N/A
CTVA,64.47,46063299240,N/A
CTXS,103.9,13183359916,N/A
CVS,89.66,115133452063,N/A
CVX,171.97,332527820756,N/A
CXO,65.6,12877584384,N/A
D,59.54,49613205706,N/A
DAL,38.17,24474159778,N/A
DD,75.81,37661570148,N/A
DE,417.79,124149245591,N/A
DFS,115.0,31420962975,N/A
DG,229.59,51330538102,N/A
DGX,144.8,16490905077,N/A
DHI,98.59,33855150278,N/A
DHR,258.84,188425865786,N/A
DIS,108.06,197404788950,N/A
DISCK,24.42,,N/A
DISH,13.67,7254753713,N/A
DLR,111.46,32047232772,N/A
DLTR,147.04,32927691334,N/A
DOV,153.25,21509242838,N/A
DOW,59.82,42165916814,N/A
DPZ,354.06,12533504129,N/A
DRE,48.2,18556648911,N/A
DRI,147.02,17893112618,N/A
DTE,113.68,22024589537,N/A
DUK,99.11,76320921333,N/A
DVA,83.08,7485508000,N/A
DVN,63.54,41536098000,N/A
DXC,28.9,6580023730,N/A
DXCM,117.89,45535970356,N/A
EA,111.8,30865770161,N/A
EBAY,48.08,26091048903,N/A
ECL,146.02,41590593321,N/A
ED,92.36,32775132641,N/A
EFX,206.16,25242937323,N/A
EIX,67.01,25589421905,N/A
EL,250.24,89310656000,N/A
EMN,86.91,10428362535,N/A
EMR,85.85,49054690000,N/A
EOG,134.14,78792426993,N/A
EQIX,729.75,67529689421,N/A
EQR,64.82,24496704394,N/A
ES,80.07,27888974799,N/A
ESS,233.77,15137498631,N/A
ETFC,49.26,10891188960,N/A
ETN,170.91,67970907000,N/A
ETR,105.79,21526536391,N/A
EVRG,61.07,14017787032,N/A
EW,77.2,47729710523,N/A
EXC,40.71,40455238041,N/A
EXPD,111.96,17816909553,N/A
EXPE,107.64,16207077519,N/A
EXR,161.75,21661807154,N/A
F,12.73,49842148163,N/A
FANG,149.29,26789901350,N/A
FAST,52.11,29746138114,N/A
FB,196.64,561210585170,N/A
FBHS,57.62,,N/A
FCX,42.36,60546299811,N/A
FDX,209.37,52844389202,N/A
FE,39.9,22812952481,N/A
FFIV,144.99,8716891884,N/A
FIS,75.43,44758612366,N/A
FISV,115.64,73434646709,N/A
FITB,37.17,25513345490,N/A
FLIR,57.34,7565007314,N/A
FLS,36.64,4788696530,N/A
FLT,207.06,15271164076,N/A
FMC,131.2,16526729098,N/A
FOX,33.2,18498419094,N/A
FOXA,35.81,18540232623,N/A
FRC,135.45,24333160550,N/A
FRT,109.97,8946409205,N/A
FTI,14.09,6290340459,N/A
FTNT,59.61,46569478616,N/A
FTV,68.13,24104956277,N/A
